date,1. open,2. high,3. low,4. close,5. volume
2021-05-13 08:40:00,240.7754,240.7954,240.7754,240.7954,2314.0
2021-05-13 08:39:00,240.8452,240.8452,240.6457,240.8153,2424.0
2021-05-13 08:38:00,240.6457,240.7554,240.516,240.7554,6826.0
2021-05-13 08:37:00,240.3464,240.496,240.3464,240.496,2648.0
2021-05-13 08:36:00,240.067,240.3464,240.0471,240.3464,1029.0
2021-05-13 08:34:00,240.2865,240.3264,240.2865,240.3264,1962.0
2021-05-13 08:33:00,240.1468,240.1668,240.1468,240.1468,3486.0
2021-05-13 08:32:00,239.7378,240.2466,239.7378,240.2466,3010.0
2021-05-13 08:31:00,239.9573,239.9573,239.5981,239.5981,7248.0
2021-05-13 08:29:00,239.9473,239.9473,239.9473,239.9473,274.0
2021-05-13 08:28:00,239.9473,240.0471,239.9473,239.9573,1082.0
2021-05-13 08:26:00,240.2167,240.2167,240.1468,240.1468,1321.0
2021-05-13 08:25:00,240.2466,240.2466,240.2466,240.2466,566.0
2021-05-13 08:24:00,240.1668,240.2167,240.1668,240.2167,793.0
2021-05-13 08:23:00,240.1468,240.1468,240.1468,240.1468,1218.0
2021-05-13 08:21:00,239.9573,239.9573,239.9573,239.9573,1183.0
2021-05-13 08:20:00,240.087,240.087,240.0471,240.0471,667.0
2021-05-13 08:19:00,240.2067,240.3165,240.1468,240.1468,2007.0
2021-05-13 08:18:00,240.2965,240.2965,240.2965,240.2965,928.0
2021-05-13 08:17:00,240.2765,240.2765,240.2765,240.2765,892.0
2021-05-13 08:16:00,240.1967,240.1967,240.1967,240.1967,2462.0
2021-05-13 08:15:00,240.2666,240.3165,240.2466,240.3165,1324.0
2021-05-13 08:14:00,240.2965,240.2965,240.2765,240.2765,1680.0
2021-05-13 08:13:00,240.2865,240.3464,240.2865,240.3364,1391.0
2021-05-13 08:12:00,240.1468,240.2466,240.1468,240.2466,3890.0
2021-05-13 08:11:00,240.0471,240.0471,240.0471,240.0471,908.0
2021-05-13 08:10:00,240.077,240.077,239.9972,239.9972,1622.0
2021-05-13 08:09:00,240.1468,240.1468,240.1468,240.1468,1041.0
2021-05-13 08:08:00,240.087,240.097,240.087,240.097,1006.0
2021-05-13 08:07:00,240.0271,240.087,240.0271,240.0271,695.0
2021-05-13 08:06:00,240.0271,240.0271,240.0271,240.0271,329.0
2021-05-13 08:05:00,239.9473,239.9473,239.9473,239.9473,770.0
2021-05-13 08:04:00,239.9772,240.0271,239.9473,239.9473,2272.0
2021-05-13 08:03:00,239.9473,239.9473,239.9473,239.9473,579.0
2021-05-13 08:02:00,239.8874,239.8874,239.8874,239.8874,429.0
2021-05-13 08:01:00,239.8276,240.2865,238.2512,239.7577,13501.0
2021-05-13 08:00:00,239.7977,239.7977,239.7577,239.7577,379.0
2021-05-13 07:59:00,239.7577,239.7577,239.7577,239.7577,716.0
